id,localidad,direccion,marca,telefono,horario,latitud,longitud,fecha
37757,Santa Cruz De Tenerife,San Miguel,"Ctra General a las Galletas, S/N Autov&iacute;a del sur Galletas",Disa,689 751 756,,28.050527,-16.612619
37758,Leon,"Avda. Jose Mar&iacute;a Suarez, S/N",Repsol,987 228 380,Cerrado Noches,42.602236,-5.557688,2015-03-10
37759,Badajoz,Mer&iacute;da,"Ctra A5, Km 341",Repsol,924 387 030,L-D 24 Horas,38.937494,-6.362767
37760,Cuenca,Cuenca,"Ctra N-400 PK 176,9 (16002 Cuenca)",Repsol,969 231 355,Cerrado Noches,40.073697,-2.170381
37761,Cuenca,T&eacute;bar,A-3 PK 186 M. Dcho (16213 T&eacute;bar),Repsol,969 381 470,L-D 24 Horas,39.48478,-2.157948
37762,Pontevedra,La Ca&ntilde;iza,"Ctra, A-52 pk 272 (36880 La Ca&ntilde;iza)",Repsol,986 652 390,L-D 24 Horas,42.207092,-8.268018
37763,"A CoruF»Arzua""","Ctra N-547 pk 63,8",Repsol,981 500 057,Cerrado Noches,42.930117,-8.144936,2015-04-30
37764,Cuenca,Belinch&oacute;n,"A-3 pk 71,9 (16470 Belinch&oacute;n)",Repsol,969 323 032,L-D 24 Horas,40.064526,-3.081578
37765,Cuenca,Honrubia,A-3 pk 166 Margen. Dcho,Repsol,969 141 068,L-D 24 Horas,40.064526,-3.081578
37766,Madrid,Algete,"Ctra M 106 pk 3,7 (28110 Algete)",Repsol,916 282 976,Cerrado Noches,40.587739,-3.545896
37767,Islas Canarias,Teguise,Avda. de las Palmeras,Disa,676051614,,28.986685,-13.516102
37768,Alava,Venta del Patio,Ctra. N-1 km 364.4,Repsol,945 307 024,Cerrado Noches,42.878715,-2.51857
37769,La Luisiana,"Ctra, N-4 p.k. 464",Repsol,955 907 807,Cerrado Noches,37.52407,-5.194714,2015-05-22
37770,Baleares,Palma de Mallorca,"Calle Camino son Rapinya, esq Cami dels Reis",Repsol,971 798 998,L-D 24 Horas,39.585093,2.618488
37771,Jerez de la Frontera,Ctra. A-381 PK 20,Repsol,956 237 200,L-D 24 Horas,36.569003,-6.023394,2015-06-19
37772,Granada,C/ de la Sultana,Repsol,958 123 608,L-D 24 horas,37.150646,-3.592494,2015-06-25
37773,Espinosa de los Caballeros,Ctra. A-6 km 118.5,Repsol,920 300 004,Cerrado noches,41.010127,-4.666694,2015-06-19
37774,Santa Mar&iacute;a de Palautordera,Ctra. C-35 Km 51,Repsol,938 489 676,Cerrado Noches,41.65781,2.450624,2015-06-19
37775,La Rioja,Logro&ntilde;o,"Ctra, LO-20 KM 13",Repsol,941 205 862,Cerrado Noches,42.454236,-2.503491
37776,Salamanca,"C/ Antonio Lopez Borrascosa, 2-14",Repsol,923 080 127,L-D 24 Horas,40.96258,-5.698282,2015-07-06
37777,Guadalajara,Guadalajara,"Calle Julian Besteiro, 25",Repsol,949 200 427,L-D 24 Horas,40.633485,-3.18437
37778,Madrid,Aravaca,"Ctra A-6, pk 12 (sentido decreciente)",Repsol,913 077 932,L-D 24 Horas,40.465707,-3.805209
37779,A CoruF»Puebla de Carami&ntilde,"al""",Ctra VRG 1.1 Padr&oacute;n-Ribeira,Repsol,981 877 731,L-D 24 Horas,42.607843,-8.964031
37780,Caldas de Luna,Ctra AP-66 p.k 89,Repsol,987 597 795,L-D 24 Horas,42.92879,-5.855956,2015-07-07
37781,Bassella,"CR C-14, p.k. 134",Repsol,973 462 731,Cerrado Noches,42.005916,1.294118,2015-07-20
37782,Palamos,Ctra C-31 pk 326.9,Repsol,,Cerrado Noches,41.87219,3.138206,2015-08-06
37783,Baleares,Llucmajor,Ctra. PM-602 pk 8.2,Repsol,971 440 447,Cerrado noches,39.484144,2.832421
37784,Alicante,Villena,Ctra. A-31 pk 53 M. IZQ,Repsol,965 817 412,L-D 24 Horas,38.618056,-0.848984
37785,Madrid,Madrid,"C/ Nuestra se&ntilde;ora de Valgrande, 175",Repsol,917 344 509,L-D 24 Horas,40.503496,-3.685613
37786,Fenolleres,Ctra. A-2 pk 512,Repsol,973 530 661,L-D 24 Horas,41.661855,1.198188,2015-08-06
